2026-03-08 20:05:59 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-08 20:05:59 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-08 20:06:00 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-08 20:06:00 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-08 20:08:58 | INFO     | src.bot.messages | received text from user_id=424718795
2026-03-08 20:08:58 | INFO     | src.bot.messages | starting analysis for user_id=1, lang=UKRAINIAN
2026-03-08 20:09:02 | INFO     | src.bot.messages | saved analysis for user_id=1
2026-03-08 20:09:02 | INFO     | src.bot.messages | response sent to user_id=1
2026-03-08 20:09:23 | INFO     | src.bot.messages | received text from user_id=424718795
2026-03-08 20:09:23 | INFO     | src.bot.messages | starting analysis for user_id=1, lang=UKRAINIAN
2026-03-08 20:09:27 | INFO     | src.bot.messages | saved analysis for user_id=1
2026-03-08 20:09:27 | INFO     | src.bot.messages | response sent to user_id=1
2026-03-09 18:15:41 | INFO     | src.bot.messages | received text from user_id=424718795
2026-03-09 18:15:41 | INFO     | src.bot.messages | starting analysis for user_id=1, lang=UKRAINIAN
2026-03-09 18:15:45 | INFO     | src.bot.messages | saved analysis for user_id=1
2026-03-09 18:15:45 | INFO     | src.bot.messages | response sent to user_id=1
2026-03-09 20:52:12 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-09 20:52:12 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-09 20:52:18 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-09 20:52:18 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-09 20:53:46 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-09 20:53:46 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-09 20:53:52 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-09 20:53:52 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-09 20:54:32 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-09 20:54:32 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-09 20:54:35 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-09 20:54:35 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-09 20:55:36 | INFO     | src.bot.messages | received text from user_id=850104268
2026-03-09 20:55:36 | INFO     | src.bot.messages | starting analysis for user_id=2, lang=UKRAINIAN
2026-03-09 20:55:38 | INFO     | src.bot.messages | saved analysis for user_id=2
2026-03-09 20:55:39 | INFO     | src.bot.messages | response sent to user_id=2
2026-03-09 20:55:46 | INFO     | src.bot.messages | received text from user_id=424718795
2026-03-09 20:55:46 | INFO     | src.bot.messages | starting analysis for user_id=1, lang=UKRAINIAN
2026-03-09 20:55:49 | INFO     | src.bot.messages | saved analysis for user_id=1
2026-03-09 20:55:49 | INFO     | src.bot.messages | response sent to user_id=1
2026-03-09 23:24:35 | INFO     | __main__ | bot stopped by user.
2026-03-09 23:24:46 | INFO     | __main__ | bot is starting...
2026-03-09 23:24:53 | INFO     | src.bot.messages | received text from user_id=424718795
2026-03-09 23:24:53 | INFO     | src.bot.messages | starting analysis for user_id=1, lang=UKRAINIAN
2026-03-09 23:25:00 | INFO     | src.bot.messages | saved analysis for user_id=1
2026-03-09 23:25:00 | INFO     | src.bot.messages | response sent to user_id=1
2026-03-09 23:25:50 | INFO     | src.bot.messages | received text from user_id=424718795
2026-03-09 23:25:50 | INFO     | src.bot.messages | starting analysis for user_id=1, lang=UKRAINIAN
2026-03-09 23:25:54 | INFO     | src.bot.messages | saved analysis for user_id=1
